title,description,type_collected_display,type_collected_code,type_collected_system,collection_display,collection_system,collection_code,patient_preparation_system,patient_preparation_code,patient_preparation_display,is_derived,single_use,preference,container_cap_display,container_cap_code,container_cap_system,container_minimumvolume,container_minimumvolume_unit_display,container_minimumvolume_unit_code,container_minimumvolume_unit_system,container_capacity_value,container_capacity_unit_display,container_capacity_unit_code,container_capacity_unit_system,retention_time_value,retention_time_unit_code,retention_time_unit_display,retention_time_unit_system,requirement,container_description,container_preparation,,,,,,,,,,,,,,,
Blood cross matching,Determines compatibility between donor blood and recipient blood before transfusion. This test helps prevent transfusion reactions by identifying any antigen–antibody incompatibilities.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Recipient sample collected in EDTA tube; donor segment/tube provided by blood bank. Mandatory proper labelling and matching documentation,"Crossmatch includes immediate spin, antibody screening, and antiglobulin phase testing as required. Ensures donor RBCs are compatible with recipient serum. Any mismatch must be flagged and reported immediately.",Invert tube 8–10 times after collection. Maintain proper temperature and avoid haemolysis. Ensure all identification details match the transfusion request.,,,,,,,,,,,,,,,
Bleeding time,"Assesses the time taken for bleeding to stop after a small standardized skin incision. Helps evaluate platelet function, vascular integrity, and screen for bleeding disorders.",Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Finger stick,http://snomed.info/sct,278450005,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,Not,millilitre,mL,http://unitsofmeasure.org,Not,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,Use standardized method with proper timing and filter paper.,Test should be performed under controlled conditions at room temperature. Avoid squeezing the finger excessively.,Ensure proper technique and timing accuracy.,,,,,,,,,,,,,,,
Clotting time,"Assesses the time taken for bleeding to stop after a small standardized skin incision. Helps evaluate platelet function, vascular integrity, and screen for bleeding disorders.",Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Finger stick,http://snomed.info/sct,278450005,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,Not,millilitre,mL,http://unitsofmeasure.org,Not,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,Use standardized method with proper timing and filter paper.,Test should be performed under controlled conditions at room temperature. Avoid squeezing the finger excessively.,Ensure proper technique and timing accuracy.,,,,,,,,,,,,,,,
Blood sugar-Finger prick,Ordered to measure the level of glucose in the blood to check for diabetes or monitor blood sugar control.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Finger stick,http://snomed.info/sct,278450005,,,,No,Yes,,Grey cap (fluoride) ,grey,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,"Serum, plasma, or fluoride oxalate sample depending on method",Fluoride/oxalate tube or serum tube based on test type,"Collect, label, and process sample promptly to prevent glucose breakdown.",,,,,,,,,,,,,,,
Blood sugar-Venipuncture,Ordered to measure the level of glucose in the blood to check for diabetes or monitor blood sugar control.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Grey cap (fluoride),grey,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,"Serum, plasma, or fluoride oxalate sample depending on method",Fluoride/oxalate tube or serum tube based on test type,"Collect, label, and process sample promptly to prevent glucose breakdown.",,,,,,,,,,,,,,,
Glucose Tolerance test (GTT),Ordered to assess how the body processes glucose and to help diagnose diabetes or gestational diabetes.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Grey cap,grey,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Baseline fasting sample + samples collected after glucose load (usually 75g glucose),Fluoride/oxalate tube or serum tube depending on lab method,"Collect fasting sample, administer glucose drink, collect timed samples (e.g., 1-hour, 2-hour), process each tube promptly.",,,,,,,,,,,,,,,
S. Bilirubin (T),Ordered to measure total bilirubin levels to assess liver function and detect jaundice or liver disorders.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Serum or plasma sample suitable for biochemical testing,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge, and send for testing promptly.",,,,,,,,,,,,,,,
S. Bilirubin direct,Ordered to measure the direct (conjugated) bilirubin level to help evaluate liver function and bile duct obstruction.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for bilirubin analysis,Serum separation tube (SST) or plain red-top tube,"Collect, allow to clot if serum, centrifuge promptly, protect sample from light.",,,,,,,,,,,,,,,
S. Bilirubin indirect,Ordered to measure the direct (conjugated) bilirubin level to help evaluate liver function and bile duct obstruction.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for bilirubin analysis,Serum separation tube (SST) or plain red-top tube,"Collect, allow to clot if serum, centrifuge promptly, protect sample from light.",,,,,,,,,,,,,,,
Serum creatinine,Ordered to assess kidney function by measuring creatinine levels in the blood.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for biochemical testing,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow clotting if serum, centrifuge promptly, and send for testing.",,,,,,,,,,,,,,,
Blood Urea,Ordered to assess kidney function and evaluate how well the body removes waste products.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for urea estimation,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
SGPT,"Ordered to evaluate liver health by measuring ALT levels, which rise in liver injury or inflammation.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
SGOT,"Ordered to assess liver and muscle health, as AST levels increase in liver disease and muscle injury.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Alkaline Phosphatase,"Ordered to assess liver and bone health, as ALP levels increase in liver disease and bone disorders.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Total Protein,"Ordered to assess overall protein levels in the blood, helping evaluate liver function, kidney function, and nutritional status.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Albumin,"Ordered to assess liver function, nutritional status, and protein balance in the body.Ordered to evaluate the balance between albumin and globulin levels, helping assess liver function, kidney disorders, and immune system health.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
AG ratio ,"Ordered to assess liver function, nutritional status, and protein balance in the body.Ordered to evaluate the balance between albumin and globulin levels, helping assess liver function, kidney disorders, and immune system health.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Globulin,"Ordered to assess immune system proteins and evaluate liver function, nutritional status, or chronic inflammation.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,Yes,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Total Cholesterol,Ordered to measure the total cholesterol level in the blood to assess heart disease risk and lipid metabolism.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Triglycerides,Ordered to measure triglyceride levels to assess lipid metabolism and cardiovascular risk.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. VLDL,"Ordered to estimate Very Low-Density Lipoprotein levels, which help assess lipid metabolism and cardiovascular risk.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. HDL,Ordered to measure High-Density Lipoprotein (good cholesterol) levels to assess heart health and lipid balance.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. LDL,Ordered to measure Low-Density Lipoprotein (bad cholesterol) levels to assess cardiovascular risk.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. GGT,"Ordered to assess liver function, especially to detect bile duct problems and alcohol-related liver disease.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Uric acid,"Ordered to measure uric acid levels to help diagnose gout, kidney stones, or monitor metabolic health.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Amylase,Ordered to help diagnose pancreatitis and other conditions affecting the pancreas or salivary glands.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Calcium,"Ordered to measure calcium levels to assess bone health, parathyroid function, kidney function, and metabolic disorders.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. LDH,"Ordered to measure lactate dehydrogenase levels, which may increase with tissue damage, liver disease, anemia, infections, or certain cancers.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S.Magnesium,"Ordered to measure magnesium levels to assess nerve and muscle function, electrolyte balance, and kidney health.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
Hepatitis B surface antigen test,Ordered to check if a person currently has a Hepatitis B infection or has recently been exposed.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Serum or plasma from a properly collected blood sample,Blood collection tube for serology testing,"Collect, label, allow to clot (if serum), and send to lab as per protocol.",,,,,,,,,,,,,,,
