title,description,usage,category_name,classification,code_system,code_display,code_value,diagnostic_report_system,diagnostic_report_display,diagnostic_report_code,specimen_names,observation_names,
S. Bilirubin direct,Measures the conjugated (water-soluble) fraction of bilirubin in serum.,"Used to assess liver function, biliary obstruction, and hemolytic conditions.",Laboratory,laboratory,http://snomed.info/sct,S. Bilirubin direct,54462003,http://loinc.org,Bilirubin.direct [Mass/volume] in Serum or Plasma,1968-7,Hepatitis B surface antigen test,Hepatitis B surface antigen test,
S. Bilirubin indirect,"Estimates the unconjugated fraction of bilirubin, calculated from total and direct bilirubin.",Used to evaluate hemolysis and disorders of bilirubin metabolism causing unconjugated jaundice.,Laboratory,laboratory,http://snomed.info/sct,S. Bilirubin indirect,37852002,http://loinc.org,Bilirubin.indirect [Mass/volume] in Serum or Plasma,1971-1,Test for Dengue,Test for Dengue,
SGPT,"Measures alanine aminotransferase, an enzyme released when liver cells are damaged.",Used to evaluate liver health and monitor liver disease or drug-related liver injury.,Laboratory,laboratory,http://snomed.info/sct,SGPT,34608000,http://loinc.org,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,1742-6,RPR/VDRL test for syphilis,RPR/VDRL test for syphilis,
SGOT,"Measures aspartate aminotransferase, an enzyme found in the liver, heart, and other tissues.","Used to assess liver health, detect liver injury, and evaluate muscle or cardiac damage.",Laboratory,laboratory,http://snomed.info/sct,SGOT,45896001,http://loinc.org,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,1920-8,RA factor (Quantitative),RA factor (Quantitative),
S. Alkaline Phosphatase,"Measures ALP enzyme levels, which rise in liver, bile duct, and bone disorders.","Used to evaluate liver function, detect biliary obstruction, and assess bone diseases.",Laboratory,laboratory,http://snomed.info/sct,S. Alkaline Phosphatase,88810008,http://loinc.org,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,6768-6,Urine culture- Mid stream urine collection,Urine culture- Mid stream urine collection,
S. Total Protein,"Measures the total amount of proteins in the blood, mainly albumin and globulins.","Used to assess nutritional status, liver function, kidney disease, and various systemic conditions.",Laboratory,laboratory,http://snomed.info/sct,S. Total Protein,304383000,http://loinc.org,Protein [Mass/volume] in Serum or Plasma,2885-2,Urine culture- Mid stream urine collection,Urine culture- Mid stream urine collection,
S. Albumin,"Measures the level of albumin, the main protein in blood plasma produced by the liver","Used to evaluate protein balance, detect liver disease, nephrotic syndrome, and chronic illnesses.",Laboratory,laboratory,http://snomed.info/sct,S. Albumin,104485008,http://loinc.org,Albumin [Mass/volume] in Serum or Plasma,1751-7,Urinalysis complete panel,Urinalysis complete panel,
S. Globulin,"Measures the concentration of globulin proteins in the blood, which play roles in immunity and transport.","Used to evaluate immune status, liver function, protein disorders, and chronic inflammation.",Laboratory,laboratory,http://snomed.info/sct,S. Globulin,270994009,http://loinc.org,Globulin [Mass/volume] in Serum by calculation,10834-0,Urine Microscopy,Urine Microscopy,
AG ratio ,Calculates the ratio of albumin to globulin in blood.,"Used to help evaluate liver disease, kidney disorders, immune conditions, and chronic infections.",Laboratory,laboratory,http://snomed.info/sct,AG ratio ,687005,http://loinc.org,Albumin/Globulin [Mass Ratio] in Serum or Plasma,1759-0,Stool for hanging drop for Vibrio Cholera,Stool for hanging drop for Vibrio Cholera,
Serum creatinine,"Measures the level of creatinine in the blood, an indicator of kidney function.","Used to assess kidney health, diagnose renal impairment, and calculate eGFR.",Laboratory,laboratory,http://snomed.info/sct,Serum creatinine,113075003,http://loinc.org,Creatinine [Mass/volume] in Serum or Plasma,2160-0,Culture for Diptheria,Culture for Diptheria,2
Blood Urea,"Measures the amount of urea in the blood, reflecting kidney function and protein metabolism.","Used to assess renal function, dehydration, and metabolic status.",Laboratory,laboratory,http://snomed.info/sct,Blood Urea,269858003,http://loinc.org,Urea [Mass/volume] in Blood,20977-5,Throat swab for Diphtheria,Throat swab for Diphtheria,2
S. Sodium,"Measures sodium concentration in the blood, an essential electrolyte for fluid balance and nerve function.","Used to assess hydration status, electrolyte balance, kidney function, and disorders like hyponatremia or hypernatremia.",Laboratory,laboratory,http://snomed.info/sct,S. Sodium,104934005,http://loinc.org,Sodium [Moles/volume] in Serum or Plasma,2951-2,AFB examination -sputum,AFB examination -sputum,
S. Potassium,"Measures the level of potassium in the blood, an important electrolyte for heart and muscle function.","Used to assess electrolyte balance, kidney function, and monitor conditions affecting heart rhythm.",Laboratory,laboratory,http://snomed.info/sct,S. Potassium,271236005,http://loinc.org,Potassium [Moles/volume] in Serum or Plasma,2823-3,AFB examination- pus ,AFB examination- pus ,
S. Uric acid,"Measures uric acid levels in the blood, reflecting purine metabolism.","Used to evaluate gout, kidney function, metabolic disorders, and monitor therapy.",Laboratory,laboratory,http://snomed.info/sct,S. Uric acid,275740009,http://loinc.org,Urate [Mass/volume] in Serum or Plasma,3084-1,AFB examination - body fluid,AFB examination - body fluid,2
S. Total Cholesterol,Measures the total amount of cholesterol in the blood.,Used to assess cardiovascular risk and monitor lipid management.,Laboratory,laboratory,http://snomed.info/sct,S. Total Cholesterol,412808005,http://loinc.org,Cholesterol [Mass/volume] in Serum or Plasma,2093-3,Blood culture,Blood culture,
S. Triglycerides,"Measures the level of triglycerides in the blood, a key component of lipid metabolism.","Used to assess cardiovascular risk, detect metabolic disorders, and monitor treatment in dyslipidemia.",Laboratory,laboratory,http://snomed.info/sct,S. Triglycerides,271245006,http://loinc.org,Triglyceride [Moles/volume] in Serum or Plasma,14927-8,Visual Inspection Acetic Acid (VIA),Visual Inspection Acetic Acid (VIA),
S. VLDL,"Estimates the level of very-low-density lipoproteins, which carry triglycerides in the blood.","Used to assess lipid status and cardiovascular risk, often calculated from triglycerides.",Laboratory,laboratory,http://snomed.info/sct,S. VLDL,166834004,http://loinc.org,Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,13458-5,Cervix and vaginal cytology,Cervix and vaginal cytology,
S. HDL,"Measures high-density lipoprotein cholesterol, often called the protective cholesterol.",Used to assess cardiovascular risk and evaluate lipid health.,Laboratory,laboratory,http://snomed.info/sct,S. HDL,166832000,http://loinc.org,Cholesterol in HDL [Mass/volume] in Serum or Plasma,2085-9,Pap smear,Pap smear,
S. LDL,"Measures low-density lipoprotein cholesterol, the main cholesterol linked to heart disease risk.",Used to assess cardiovascular risk and guide lipid-lowering therapy.,Laboratory,laboratory,http://snomed.info/sct,S. LDL,166833005,http://loinc.org,Cholesterol in LDL [Mass/volume] in Serum or Plasma,2089-1,TB – Mantoux,TB – Mantoux,
S. GGT,"Measures GGT enzyme levels, which rise in liver and bile duct disorders.","Used to assess liver function, detect alcohol-related liver injury, and evaluate biliary obstruction.",Laboratory,laboratory,http://snomed.info/sct,S. GGT,313849004,http://loinc.org,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,2324-2,MP slide method,MP slide method,
Urinalysis complete panel,"A comprehensive urine analysis evaluating physical properties, chemical composition, and microscopic sediment examination.","Used to screen for and diagnose urinary tract infections, kidney diseases, metabolic disorders such as diabetes, liver disease, and to monitor overall renal health.",Laboratory,laboratory,http://snomed.info/sct,Urinalysis complete panel,117339008,http://loinc.org,Urinalysis complete panel - Urine,24356-8,Malaria rapid test,Malaria rapid test,2
Urine Sugar (Test strip),"Used to screen for diabetes mellitus, monitor glycemic control, or detect renal glucose loss.","Screens urine for glucose, commonly used in diabetes assessment.",Laboratory,laboratory,http://snomed.info/sct,Urine Sugar (Test strip),69376001,http://loinc.org,Invalid,1421708,Human chorionic gonadotropin (HCG) (Urine test for pregnancy),Human chorionic gonadotropin (HCG) (Urine test for pregnancy),2
Urine culture- Mid stream urine collection,Detects and identifies bacteria or fungi causing urinary tract infections.,"Used to diagnose UTI, guide antibiotic treatment, and evaluate recurrent or complicated infections.",Laboratory,laboratory,http://snomed.info/sct,Urine culture- Mid stream urine collection,104194007,http://loinc.org,Bacteria identified in Urine by Culture,630-4,Erythrocyte sedimentation rate,Erythrocyte sedimentation rate,2
Urine Microscopy,"Microscopic examination of urine to identify cells, crystals, casts, and microorganisms.","Used to diagnose urinary tract infections, kidney diseases, hematuria, and metabolic disorders.",Laboratory,laboratory,http://snomed.info/sct,Urine Microscopy,27260001,http://loinc.org,Urinary tract pathogens panel - Urine by Culture,12235-8,Coombs test direct with titre,Coombs test direct with titre,2
S.Chloride,"Measures chloride levels in the blood, a key electrolyte involved in fluid balance and acid–base regulation.","Used to assess hydration status, kidney function, acid–base disorders, and electrolyte imbalance.",Laboratory,laboratory,http://snomed.info/sct,S.Chloride,271238006,http://loinc.org,Microscopic observation [Identifier] in Urine sediment by Light microscopy,2075-0,Coombs test indirect with titre,Coombs test indirect with titre,
S.Ionised Calcium,Measures the biologically active (free) form of calcium in the blood.,"Used to assess calcium disorders more accurately than total calcium, especially in critical care, kidney disease, and parathyroid disorders.",Laboratory,laboratory,http://snomed.info/sct,S.Ionised Calcium,391084000,http://loinc.org,Chloride [Moles/volume] in Serum or Plasma,17863-2,Sickling Test for Sickle cell anemia*,Sickling Test for Sickle cell anemia*,
S. Lipase,"Measures the level of lipase enzyme in the serum, which is primarily produced by the pancreas to break down fats.","Used to diagnose and monitor acute pancreatitis, evaluate pancreatic disorders, and differentiate pancreatic from non-pancreatic causes of abdominal pain.",,laboratory,http://snomed.info/sct,S. Lipase,271232007,http://loinc.org,Calcium.ionized [Mass/volume] in Serum or Plasma,3040-3,Prothrombin Time (PT) and INR,Prothrombin Time (PT) and INR,
S. Calcium,"Measures total calcium in the blood, essential for bone health, nerve signals, and muscle function.","Used to assess bone metabolism, parathyroid function, kidney disease, and calcium disorders.",Laboratory,laboratory,http://snomed.info/sct,S. Calcium,271240001,http://loinc.org,Lipase [Enzymatic activity/volume] in Serum or Plasma,17861-6,Activated partial thromboplastin time,Activated partial thromboplastin time,
S.Magnesium,"Measures magnesium levels in the blood, essential for muscle function, nerve activity, and enzyme processes.","Used to evaluate electrolyte imbalance, kidney disorders, cardiac issues, and causes of muscle cramps or arrhythmias.",Laboratory,laboratory,http://snomed.info/sct,S.Magnesium,63571001,http://loinc.org,Calcium [Mass/volume] in Serum or Plasma,19123-9,HIV test (Antibodies 1 and 2) ,HIV test (Antibodies 1 and 2) ,
S. Iron,Measures the amount of circulating iron bound to transferrin in the blood.,"Used to evaluate iron deficiency, iron overload, and disorders of iron metabolism.",Laboratory,laboratory,http://snomed.info/sct,S. Iron,250216004,http://loinc.org,Magnesium [Mass/volume] in Serum or Plasma,2498-4,IgM antibody to hepatitis B core antigen (IgM anti-HBc),IgM antibody to hepatitis B core antigen (IgM anti-HBc),
CRP(including new born) (Quantitative),"Measures C-reactive protein levels in the blood, a marker of inflammation or infection.","Used to detect and monitor infections, inflammatory conditions, and sepsis; also used in newborns to evaluate early-onset infections.",Laboratory,laboratory,http://snomed.info/sct,CRP(including new born) (Quantitative),135842001,http://loinc.org,Iron [Mass/volume] in Serum or Plasma,30522-7,HCV Antibody Test (Anti HCV),HCV Antibody Test (Anti HCV),
HIV test (Antibodies 1 and 2) ,Screens for antibodies produced against HIV-1 and HIV-2.,"Used for early detection of HIV infection, routine screening, and diagnostic confirmation with follow-up tests.",Laboratory,laboratory,http://snomed.info/sct,HIV test (Antibodies 1 and 2) ,31676001,http://loinc.org,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,85037-0,Typhoid test (IgM) - Venipuncture,Typhoid test (IgM) - Venipuncture,2
Blood Urea Nitrogen (BUN),"Measures the amount of urea nitrogen in the blood, which is a waste product formed from the breakdown of proteins by the liver and excreted by the kidneys.","Used to evaluate kidney function, assess hydration status, monitor renal disease progression, and evaluate the effectiveness of dialysis treatment.",Laboratory,laboratory,http://snomed.info/sct,Blood Urea Nitrogen (BUN),105011006,http://loinc.org,HIV 1 and 2 Ab and HIV 1 p24 Ag panel - Serum or Plasma by Immunoassay,3094-0,Typhoid test (IgM)- Finger prick,Typhoid test (IgM)- Finger prick,
Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Venipuncture),"Detects HIV-1 genetic material (DNA) in infants to diagnose HIV infection early, before antibodies develop.",Used for infants born to HIV-positive mothers to confirm or rule out HIV infection in the first months of life.,Laboratory,laboratory,http://snomed.info/sct,Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Venipuncture),399256002,http://loinc.org,Urea nitrogen [Mass/volume] in Serum or Plasma,44871-2,S. Iron,S. Iron,2
Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Heel Prick Test),"Detects HIV-1 genetic material (DNA) in infants to diagnose HIV infection early, before antibodies develop.",Used for infants born to HIV-positive mothers to confirm or rule out HIV infection in the first months of life.,Laboratory,laboratory,http://snomed.info/sct,Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Heel Prick Test),399256002,http://loinc.org,HIV 1 proviral DNA [Presence] in Blood by NAA with probe detection,44871-2,S. Total Iron binding capacity,S. Total Iron binding capacity,2
Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC)(Dried blood spot specimen),"Detects HIV-1 genetic material (DNA) in infants to diagnose HIV infection early, before antibodies develop.",Used for infants born to HIV-positive mothers to confirm or rule out HIV infection in the first months of life.,Laboratory,laboratory,http://snomed.info/sct,Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC)(Dried blood spot specimen),399256002,http://loinc.org,HIV 1 proviral DNA [Presence] in Blood by NAA with probe detection,44871-2,Glycosylated haemoglobin (HbA1C),Glycosylated haemoglobin (HbA1C),2
RA factor (Quantitative),"Measures rheumatoid factor antibodies in the blood, often elevated in autoimmune joint diseases.",Used to support the diagnosis of rheumatoid arthritis and related autoimmune disorders.,Laboratory,laboratory,http://snomed.info/sct,RA factor (Quantitative),10239008,http://loinc.org,HIV 1 proviral DNA [Presence] in Blood by NAA with probe detection,11572-5,S. Sodium,S. Sodium,
S. Amylase,"Measures the level of amylase enzyme in the blood, mainly from the pancreas and salivary glands.","Used to diagnose and monitor pancreatitis, salivary gland disorders, and abdominal pain evaluation.",Laboratory,laboratory,http://snomed.info/sct,S. Amylase,89659001,http://loinc.org,Rheumatoid factor [Units/volume] in Serum or Plasma,1798-8,S. Potassium,S. Potassium,
Stool for ova and cyst,"Microscopic examination of stool to detect parasite eggs, larvae, and cysts.",Used to diagnose intestinal parasitic infections and guide appropriate treatment.,Laboratory,laboratory,http://snomed.info/sct,Stool for ova and cyst,104223001,http://loinc.org,Amylase [Enzymatic activity/volume] in Serum or Plasma,10701-1,S.Ionised Calcium,S.Ionised Calcium,
Stool for Occult Blood,A chemical test used to detect hidden (non-visible) blood in stool.,"Used to screen for gastrointestinal bleeding, colorectal cancer, ulcers, polyps, and inflammatory bowel conditions.",Laboratory,laboratory,http://snomed.info/sct,Stool for Occult Blood,442563002,http://loinc.org,Ova and parasites identified in Stool by Concentration,2335-8,S.Chloride,S.Chloride,
"Fluid analysis -biochemistry including Glucose, Protein, LDH","Evaluates body cavity fluids to determine whether a collection is transudative or exudative and to identify infection, inflammation, or malignancy.","Used to diagnose pleural effusion, ascites, pericardial effusion, infections, and cancer-related fluid collections.",Laboratory,laboratory,http://snomed.info/sct,"Fluid analysis -biochemistry including Glucose, Protein, LDH",168147001,http://loinc.org,Hemoglobin.gastrointestinal [Presence] in Stool,,Arterial blood gas test,Arterial blood gas test,
